YEAR,BY YEAR NO,BY ROUND NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2019,1452,1700,741,Wofford,7,32,64,84
2019,1451,1699,757,Seton Hall,10,64,64,68
2019,1450,1698,785,Kentucky,2,8,64,79
2019,1449,1697,807,Abilene Christian,15,64,64,44
2019,1448,864,798,Duke,1,8,32,77
2019,1447,863,750,UCF,9,32,32,76
2019,1446,862,784,Liberty,12,32,32,58
2019,1445,861,744,Virginia Tech,4,16,32,67
2019,1444,860,780,Maryland,6,32,32,67
2019,1443,859,782,LSU,3,16,32,69
2019,1442,858,777,Minnesota,10,32,32,50
2019,1441,857,778,Michigan St.,2,4,32,70
2019,1440,856,792,Gonzaga,1,8,32,83
2019,1439,855,804,Baylor,9,32,32,71
2019,1438,854,773,Murray St.,12,32,32,62
2019,1437,853,795,Florida St.,4,16,32,90
2019,1436,852,801,Buffalo,6,32,32,58
2019,1435,851,752,Texas Tech,3,2,32,78
2019,1434,850,796,Florida,10,32,32,49
2019,1433,849,779,Michigan,2,16,32,64
2019,1432,848,269,Virginia ,1,1,32,63
2019,1431,847,764,Oklahoma,9,32,32,51
2019,1430,846,762,Oregon,12,16,32,73
2019,1429,845,751,UC Irvine,13,32,32,54
2019,1428,844,746,Villanova,6,32,32,61
2019,1427,843,760,Purdue,3,8,32,87
2019,1426,842,789,Iowa,10,32,32,77
2019,1425,841,753,Tennessee,2,16,32,83
2019,1424,840,770,North Carolina,1,16,32,81
2019,1423,839,743,Washington,9,32,32,59
2019,1422,838,805,Auburn,5,4,32,89
2019,1421,837,787,Kansas,4,32,32,75
2019,1420,836,765,Ohio St.,11,32,32,59
2019,1419,835,791,Houston,3,16,32,74
2019,1418,834,741,Wofford,7,32,32,56
2019,1417,833,785,Kentucky,2,8,32,62
2019,1416,416,798,Duke,1,8,16,75
2019,1415,415,744,Virginia Tech,4,16,16,73
2019,1414,414,782,LSU,3,16,16,63
2019,1413,413,778,Michigan St.,2,4,16,80
2019,1412,412,792,Gonzaga,1,8,16,72
2019,1411,411,795,Florida St.,4,16,16,58
2019,1410,410,752,Texas Tech,3,2,16,63
2019,1409,409,779,Michigan,2,16,16,44
2019,1408,408,269,Virginia ,1,1,16,53
2019,1407,407,762,Oregon,12,16,16,49
2019,1406,406,760,Purdue,3,8,16,99
2019,1405,405,753,Tennessee,2,16,16,94
2019,1404,404,770,North Carolina,1,16,16,80
2019,1403,403,805,Auburn,5,4,16,97
2019,1402,402,791,Houston,3,16,16,58
2019,1401,401,785,Kentucky,2,8,16,62
2019,1400,192,798,Duke,1,8,8,67
2019,1399,191,778,Michigan St.,2,4,8,68
2019,1398,190,792,Gonzaga,1,8,8,69
2019,1397,189,752,Texas Tech,3,2,8,75
2019,1396,188,269,Virginia ,1,1,8,80
2019,1395,187,760,Purdue,3,8,8,75
2019,1394,186,805,Auburn,5,4,8,77
2019,1393,185,785,Kentucky,2,8,8,71
2019,1392,80,778,Michigan St.,2,4,4,51
2019,1391,79,752,Texas Tech,3,2,4,61
2019,1390,78,269,Virginia ,1,1,4,63
2019,1389,77,805,Auburn,5,4,4,62
2019,1388,24,752,Texas Tech,3,2,2,77
2019,1387,23,269,Virginia ,1,1,2,85
2018,1386,1696,677,Virginia,1,64,64,54
2018,1385,1695,680,UMBC,16,32,64,74
2018,1384,1694,727,Creighton,8,64,64,59
2018,1383,1693,717,Kansas St.,9,8,64,69
2018,1382,1692,716,Kentucky,5,16,64,78
2018,1381,1691,726,Davidson,12,64,64,73
2018,1380,1690,738,Arizona,4,64,64,68
2018,1379,1689,733,Buffalo,13,32,64,89
2018,1378,1688,711,Miami FL,6,64,64,62
2018,1377,1687,713,Loyola Chicago,11,4,64,64
2018,1376,1686,686,Tennessee,3,32,64,73
2018,1375,1685,673,Wright St.,14,64,64,47
2018,1374,1684,705,Nevada,7,16,64,87
2018,1373,1683,685,Texas,10,64,64,83
2018,1372,1682,730,Cincinnati,2,32,64,68
2018,1371,1681,722,Georgia St.,15,64,64,53
2018,1370,1680,672,Xavier,1,32,64,102
2018,1369,1679,683,Texas Southern,16,64,64,83
2018,1368,1678,708,Missouri,8,64,64,54
2018,1367,1677,723,Florida St.,9,8,64,67
2018,1366,1676,700,Ohio St.,5,32,64,81
2018,1365,1675,691,South Dakota St.,12,64,64,73
2018,1364,1674,721,Gonzaga,4,16,64,68
2018,1363,1673,679,UNC Greensboro,13,64,64,64
2018,1362,1672,720,Houston,6,32,64,67
2018,1361,1671,693,San Diego St.,11,64,64,65
2018,1360,1670,710,Michigan,3,2,64,61
2018,1359,1669,707,Montana,14,64,64,47
2018,1358,1668,684,Texas A&M,7,16,64,73
2018,1357,1667,697,Providence,10,64,64,69
2018,1356,1666,703,North Carolina,2,32,64,84
2018,1355,1665,715,Lipscomb,15,64,64,66
2018,1354,1664,678,Villanova,1,1,64,87
2018,1353,1663,695,Radford,16,64,64,61
2018,1352,1662,676,Virginia Tech,8,64,64,83
2018,1351,1661,739,Alabama,9,32,64,86
2018,1350,1660,675,West Virginia,5,16,64,85
2018,1349,1659,706,Murray St.,12,64,64,68
2018,1348,1658,674,Wichita St.,4,64,64,75
2018,1347,1657,712,Marshall,13,32,64,81
2018,1346,1656,724,Florida,6,32,64,77
2018,1345,1655,690,St. Bonaventure,11,64,64,62
2018,1344,1654,682,Texas Tech,3,8,64,70
2018,1343,1653,689,Stephen F. Austin,14,64,64,60
2018,1342,1652,736,Arkansas,7,64,64,62
2018,1341,1651,732,Butler,10,32,64,79
2018,1340,1650,696,Purdue,2,16,64,74
2018,1339,1649,731,Cal St. Fullerton,15,64,64,48
2018,1338,1648,718,Kansas,1,4,64,76
2018,1337,1647,698,Penn,16,64,64,60
2018,1336,1646,692,Seton Hall,8,32,64,94
2018,1335,1645,701,North Carolina St.,9,64,64,83
2018,1334,1644,729,Clemson,5,16,64,79
2018,1333,1643,704,New Mexico St.,12,64,64,68
2018,1332,1642,735,Auburn,4,32,64,62
2018,1331,1641,728,College of Charleston,13,64,64,58
2018,1330,1640,687,TCU,6,64,64,52
2018,1329,1639,688,Syracuse,11,16,64,57
2018,1328,1638,709,Michigan St.,3,32,64,82
2018,1327,1637,734,Bucknell,14,64,64,78
2018,1326,1636,694,Rhode Island,7,32,64,83
2018,1325,1635,699,Oklahoma,10,64,64,78
2018,1324,1634,725,Duke,2,8,64,89
2018,1323,1633,719,Iona,15,64,64,67
2018,1322,832,680,UMBC,16,32,32,43
2018,1321,831,717,Kansas St.,9,8,32,50
2018,1320,830,716,Kentucky,5,16,32,95
2018,1319,829,733,Buffalo,13,32,32,75
2018,1318,828,713,Loyola Chicago,11,4,32,63
2018,1317,827,686,Tennessee,3,32,32,62
2018,1316,826,705,Nevada,7,16,32,75
2018,1315,825,730,Cincinnati,2,32,32,73
2018,1314,824,672,Xavier,1,32,32,70
2018,1313,823,723,Florida St.,9,8,32,75
2018,1312,822,700,Ohio St.,5,32,32,84
2018,1311,821,721,Gonzaga,4,16,32,90
2018,1310,820,720,Houston,6,32,32,63
2018,1309,819,710,Michigan,3,2,32,64
2018,1308,818,684,Texas A&M,7,16,32,86
2018,1307,817,703,North Carolina,2,32,32,65
2018,1306,816,678,Villanova,1,1,32,81
2018,1305,815,739,Alabama,9,32,32,58
2018,1304,814,675,West Virginia,5,16,32,94
2018,1303,813,712,Marshall,13,32,32,71
2018,1302,812,724,Florida,6,32,32,66
2018,1301,811,682,Texas Tech,3,8,32,69
2018,1300,810,732,Butler,10,32,32,73
2018,1299,809,696,Purdue,2,16,32,76
2018,1298,808,718,Kansas,1,4,32,83
2018,1297,807,692,Seton Hall,8,32,32,79
2018,1296,806,729,Clemson,5,16,32,84
2018,1295,805,735,Auburn,4,32,32,53
2018,1294,804,688,Syracuse,11,16,32,55
2018,1293,803,709,Michigan St.,3,32,32,53
2018,1292,802,694,Rhode Island,7,32,32,62
2018,1291,801,725,Duke,2,8,32,87
2018,1290,400,717,Kansas St.,9,8,16,61
2018,1289,399,716,Kentucky,5,16,16,58
2018,1288,398,713,Loyola Chicago,11,4,16,69
2018,1287,397,705,Nevada,7,16,16,68
2018,1286,396,723,Florida St.,9,8,16,75
2018,1285,395,721,Gonzaga,4,16,16,60
2018,1284,394,710,Michigan,3,2,16,99
2018,1283,393,684,Texas A&M,7,16,16,72
2018,1282,392,678,Villanova,1,1,16,90
2018,1281,391,675,West Virginia,5,16,16,78
2018,1280,390,682,Texas Tech,3,8,16,78
2018,1279,389,696,Purdue,2,16,16,65
2018,1278,388,718,Kansas,1,4,16,80
2018,1277,387,729,Clemson,5,16,16,76
2018,1276,386,688,Syracuse,11,16,16,65
2018,1275,385,725,Duke,2,8,16,69
2018,1274,184,717,Kansas St.,9,8,8,62
2018,1273,183,713,Loyola Chicago,11,4,8,78
2018,1272,182,723,Florida St.,9,8,8,54
2018,1271,181,710,Michigan,3,2,8,58
2018,1270,180,678,Villanova,1,1,8,71
2018,1269,179,682,Texas Tech,3,8,8,59
2018,1268,178,718,Kansas,1,4,8,85
2018,1267,177,725,Duke,2,8,8,81
2018,1266,76,713,Loyola Chicago,11,4,4,57
2018,1265,75,710,Michigan,3,2,4,69
2018,1264,74,678,Villanova,1,1,4,95
2018,1263,73,718,Kansas,1,4,4,79
2018,1262,22,710,Michigan,3,2,2,62
2018,1261,21,678,Villanova,1,1,2,79
2017,1260,1632,612,Villanova,1,32,64,76
2017,1259,1631,642,Mount St. Mary's,16,64,64,56
2017,1258,1630,605,Wisconsin,8,16,64,84
2017,1257,1629,610,Virginia Tech,9,64,64,74
2017,1256,1628,611,Virginia,5,32,64,76
2017,1255,1627,617,UNC Wilmington,12,64,64,71
2017,1254,1626,661,Florida,4,8,64,80
2017,1253,1625,662,East Tennessee St.,13,64,64,65
2017,1252,1624,624,SMU,6,64,64,65
2017,1251,1623,616,USC,11,32,64,66
2017,1250,1622,669,Baylor,3,16,64,91
2017,1249,1621,640,New Mexico St.,14,64,64,73
2017,1248,1620,623,South Carolina,7,4,64,93
2017,1247,1619,649,Marquette,10,64,64,73
2017,1246,1618,663,Duke,2,32,64,87
2017,1245,1617,620,Troy,15,64,64,65
2017,1244,1616,658,Gonzaga,1,2,64,66
2017,1243,1615,622,South Dakota St.,16,64,64,46
2017,1242,1614,634,Northwestern,8,32,64,68
2017,1241,1613,615,Vanderbilt,9,64,64,66
2017,1240,1612,633,Notre Dame,5,32,64,60
2017,1239,1611,630,Princeton,12,64,64,58
2017,1238,1610,608,West Virginia,4,16,64,86
2017,1237,1609,668,Bucknell,13,64,64,80
2017,1236,1608,648,Maryland,6,64,64,65
2017,1235,1607,604,Xavier,11,8,64,76
2017,1234,1606,659,Florida St.,3,32,64,86
2017,1233,1605,660,Florida Gulf Coast,14,64,64,80
2017,1232,1604,626,Saint Mary's,7,32,64,85
2017,1231,1603,614,VCU,10,64,64,77
2017,1230,1602,671,Arizona,2,16,64,100
2017,1229,1601,636,North Dakota,15,64,64,82
2017,1228,1600,654,Kansas,1,8,64,100
2017,1227,1599,619,UC Davis,16,64,64,62
2017,1226,1598,647,Miami FL,8,64,64,58
2017,1225,1597,645,Michigan St.,9,32,64,78
2017,1224,1596,656,Iowa St.,5,32,64,84
2017,1223,1595,641,Nevada,12,64,64,73
2017,1222,1594,628,Purdue,4,16,64,80
2017,1221,1593,613,Vermont,13,64,64,70
2017,1220,1592,665,Creighton,6,64,64,72
2017,1219,1591,627,Rhode Island,11,32,64,84
2017,1218,1590,631,Oregon,3,4,64,93
2017,1217,1589,657,Iona,14,64,64,77
2017,1216,1588,646,Michigan,7,16,64,92
2017,1215,1587,632,Oklahoma St.,10,64,64,91
2017,1214,1586,650,Louisville,2,32,64,78
2017,1213,1585,655,Jacksonville St.,15,64,64,63
2017,1212,1584,638,North Carolina,1,1,64,103
2017,1211,1583,621,Texas Southern,16,64,64,64
2017,1210,1582,670,Arkansas,8,32,64,77
2017,1209,1581,625,Seton Hall,9,64,64,71
2017,1208,1580,643,Minnesota,5,64,64,72
2017,1207,1579,644,Middle Tennessee,12,32,64,81
2017,1206,1578,667,Butler,4,16,64,76
2017,1205,1577,606,Winthrop,13,64,64,64
2017,1204,1576,666,Cincinnati,6,32,64,75
2017,1203,1575,653,Kansas St.,11,64,64,61
2017,1202,1574,618,UCLA,3,16,64,97
2017,1201,1573,652,Kent St.,14,64,64,80
2017,1200,1572,664,Dayton,7,64,64,58
2017,1199,1571,607,Wichita St.,10,32,64,64
2017,1198,1570,651,Kentucky,2,8,64,79
2017,1197,1569,635,Northern Kentucky,15,64,64,70
2017,1196,800,612,Villanova,1,32,32,62
2017,1195,799,605,Wisconsin,8,16,32,65
2017,1194,798,611,Virginia,5,32,32,39
2017,1193,797,661,Florida,4,8,32,65
2017,1192,796,616,USC,11,32,32,78
2017,1191,795,669,Baylor,3,16,32,82
2017,1190,794,623,South Carolina,7,4,32,88
2017,1189,793,663,Duke,2,32,32,81
2017,1188,792,658,Gonzaga,1,2,32,79
2017,1187,791,634,Northwestern,8,32,32,73
2017,1186,790,633,Notre Dame,5,32,32,71
2017,1185,789,608,West Virginia,4,16,32,83
2017,1184,788,604,Xavier,11,8,32,91
2017,1183,787,659,Florida St.,3,32,32,66
2017,1182,786,626,Saint Mary's,7,32,32,60
2017,1181,785,671,Arizona,2,16,32,69
2017,1180,784,654,Kansas,1,8,32,90
2017,1179,783,645,Michigan St.,9,32,32,70
2017,1178,782,656,Iowa St.,5,32,32,76
2017,1177,781,628,Purdue,4,16,32,80
2017,1176,780,627,Rhode Island,11,32,32,72
2017,1175,779,631,Oregon,3,4,32,75
2017,1174,778,646,Michigan,7,16,32,73
2017,1173,777,650,Louisville,2,32,32,69
2017,1172,776,638,North Carolina,1,1,32,72
2017,1171,775,670,Arkansas,8,32,32,65
2017,1170,774,644,Middle Tennessee,12,32,32,65
2017,1169,773,667,Butler,4,16,32,74
2017,1168,772,666,Cincinnati,6,32,32,67
2017,1167,771,618,UCLA,3,16,32,79
2017,1166,770,607,Wichita St.,10,32,32,62
2017,1165,769,651,Kentucky,2,8,32,65
2017,1164,384,605,Wisconsin,8,16,16,83
2017,1163,383,661,Florida,4,8,16,84
2017,1162,382,669,Baylor,3,16,16,50
2017,1161,381,623,South Carolina,7,4,16,70
2017,1160,380,658,Gonzaga,1,2,16,61
2017,1159,379,608,West Virginia,4,16,16,58
2017,1158,378,604,Xavier,11,8,16,73
2017,1157,377,671,Arizona,2,16,16,71
2017,1156,376,654,Kansas,1,8,16,98
2017,1155,375,628,Purdue,4,16,16,66
2017,1154,374,631,Oregon,3,4,16,69
2017,1153,373,646,Michigan,7,16,16,68
2017,1152,372,638,North Carolina,1,1,16,92
2017,1151,371,667,Butler,4,16,16,80
2017,1150,370,618,UCLA,3,16,16,75
2017,1149,369,651,Kentucky,2,8,16,86
2017,1148,176,661,Florida,4,8,8,70
2017,1147,175,623,South Carolina,7,4,8,77
2017,1146,174,658,Gonzaga,1,2,8,83
2017,1145,173,604,Xavier,11,8,8,59
2017,1144,172,654,Kansas,1,8,8,60
2017,1143,171,631,Oregon,3,4,8,74
2017,1142,170,638,North Carolina,1,1,8,75
2017,1141,169,651,Kentucky,2,8,8,73
2017,1140,72,623,South Carolina,7,4,4,73
2017,1139,71,658,Gonzaga,1,2,4,77
2017,1138,70,631,Oregon,3,4,4,76
2017,1137,69,638,North Carolina,1,1,4,77
2017,1136,20,658,Gonzaga,1,2,2,65
2017,1135,19,638,North Carolina,1,1,2,71
2016,1134,1568,578,Kansas,1,8,64,105
2016,1133,1567,602,Austin Peay,16,64,64,79
2016,1132,1566,594,Colorado,8,64,64,67
2016,1131,1565,593,Connecticut,9,32,64,74
2016,1130,1564,575,Maryland,5,16,64,79
2016,1129,1563,559,South Dakota St.,12,64,64,74
2016,1128,1562,597,California,4,64,64,66
2016,1127,1561,584,Hawaii,13,32,64,77
2016,1126,1560,603,Arizona,6,64,64,55
2016,1125,1559,539,Wichita St.,11,32,64,65
2016,1124,1558,574,Miami FL,3,16,64,79
2016,1123,1557,600,Buffalo,14,64,64,72
2016,1122,1556,580,Iowa,7,32,64,72
2016,1121,1555,554,Temple,10,64,64,70
2016,1120,1554,543,Villanova,2,1,64,86
2016,1119,1553,549,UNC Asheville,15,64,64,56
2016,1118,1552,566,Oregon,1,8,64,91
2016,1117,1551,583,Holy Cross,16,64,64,52
2016,1116,1550,561,Saint Joseph's,8,32,64,78
2016,1115,1549,595,Cincinnati,9,64,64,76
2016,1114,1548,601,Baylor,5,64,64,75
2016,1113,1547,536,Yale,12,32,64,79
2016,1112,1546,591,Duke,4,16,64,93
2016,1111,1545,548,UNC Wilmington,13,64,64,85
2016,1110,1544,553,Texas,6,64,64,72
2016,1109,1543,569,Northern Iowa,11,32,64,75
2016,1108,1542,552,Texas A&M,3,16,64,92
2016,1107,1541,586,Green Bay,14,64,64,65
2016,1106,1540,565,Oregon St.,7,64,64,67
2016,1105,1539,544,VCU,10,32,64,75
2016,1104,1538,567,Oklahoma,2,4,64,82
2016,1103,1537,598,Cal St. Bakersfield,15,64,64,68
2016,1102,1536,570,North Carolina,1,2,64,83
2016,1101,1535,589,Florida Gulf Coast,16,64,64,67
2016,1100,1534,547,USC,8,64,64,69
2016,1099,1533,563,Providence,9,32,64,70
2016,1098,1532,582,Indiana,5,16,64,99
2016,1097,1531,596,Chattanooga,12,64,64,74
2016,1096,1530,577,Kentucky,4,32,64,85
2016,1095,1529,556,Stony Brook,13,64,64,57
2016,1094,1528,568,Notre Dame,6,8,64,70
2016,1093,1527,573,Michigan,11,64,64,63
2016,1092,1526,540,West Virginia,3,64,64,56
2016,1091,1525,557,Stephen F. Austin,14,32,64,70
2016,1090,1524,538,Wisconsin,7,16,64,47
2016,1089,1523,564,Pittsburgh,10,64,64,43
2016,1088,1522,537,Xavier,2,32,64,71
2016,1087,1521,541,Weber St.,15,64,64,53
2016,1086,1520,542,Virginia,1,8,64,81
2016,1085,1519,585,Hampton,16,64,64,45
2016,1084,1518,551,Texas Tech,8,64,64,61
2016,1083,1517,599,Butler,9,32,64,71
2016,1082,1516,562,Purdue,5,64,64,83
2016,1081,1515,576,Little Rock,12,32,64,85
2016,1080,1514,579,Iowa St.,4,16,64,94
2016,1079,1513,581,Iona,13,64,64,81
2016,1078,1512,560,Seton Hall,6,64,64,52
2016,1077,1511,587,Gonzaga,11,16,64,68
2016,1076,1510,546,Utah,3,32,64,80
2016,1075,1509,588,Fresno St.,14,64,64,69
2016,1074,1508,592,Dayton,7,64,64,51
2016,1073,1507,555,Syracuse,10,4,64,70
2016,1072,1506,572,Michigan St.,2,64,64,81
2016,1071,1505,571,Middle Tennessee,15,32,64,90
2016,1070,768,578,Kansas,1,8,32,73
2016,1069,767,593,Connecticut,9,32,32,61
2016,1068,766,575,Maryland,5,16,32,73
2016,1067,765,584,Hawaii,13,32,32,60
2016,1066,764,539,Wichita St.,11,32,32,57
2016,1065,763,574,Miami FL,3,16,32,65
2016,1064,762,580,Iowa,7,32,32,68
2016,1063,761,543,Villanova,2,1,32,87
2016,1062,760,566,Oregon,1,8,32,69
2016,1061,759,561,Saint Joseph's,8,32,32,64
2016,1060,758,536,Yale,12,32,32,64
2016,1059,757,591,Duke,4,16,32,71
2016,1058,756,569,Northern Iowa,11,32,32,88
2016,1057,755,552,Texas A&M,3,16,32,92
2016,1056,754,544,VCU,10,32,32,81
2016,1055,753,567,Oklahoma,2,4,32,85
2016,1054,752,570,North Carolina,1,2,32,85
2016,1053,751,563,Providence,9,32,32,66
2016,1052,750,582,Indiana,5,16,32,73
2016,1051,749,577,Kentucky,4,32,32,67
2016,1050,748,568,Notre Dame,6,8,32,76
2016,1049,747,557,Stephen F. Austin,14,32,32,75
2016,1048,746,538,Wisconsin,7,16,32,66
2016,1047,745,537,Xavier,2,32,32,63
2016,1046,744,542,Virginia,1,8,32,77
2016,1045,743,599,Butler,9,32,32,69
2016,1044,742,576,Little Rock,12,32,32,61
2016,1043,741,579,Iowa St.,4,16,32,78
2016,1042,740,587,Gonzaga,11,16,32,82
2016,1041,739,546,Utah,3,32,32,59
2016,1040,738,555,Syracuse,10,4,32,75
2016,1039,737,571,Middle Tennessee,15,32,32,50
2016,1038,368,578,Kansas,1,8,16,79
2016,1037,367,575,Maryland,5,16,16,63
2016,1036,366,574,Miami FL,3,16,16,69
2016,1035,365,543,Villanova,2,1,16,92
2016,1034,364,566,Oregon,1,8,16,82
2016,1033,363,591,Duke,4,16,16,68
2016,1032,362,552,Texas A&M,3,16,16,63
2016,1031,361,567,Oklahoma,2,4,16,77
2016,1030,360,570,North Carolina,1,2,16,101
2016,1029,359,582,Indiana,5,16,16,86
2016,1028,358,568,Notre Dame,6,8,16,61
2016,1027,357,538,Wisconsin,7,16,16,56
2016,1026,356,542,Virginia,1,8,16,84
2016,1025,355,579,Iowa St.,4,16,16,71
2016,1024,354,587,Gonzaga,11,16,16,60
2016,1023,353,555,Syracuse,10,4,16,63
2016,1022,168,578,Kansas,1,8,8,59
2016,1021,167,543,Villanova,2,1,8,64
2016,1020,166,566,Oregon,1,8,8,68
2016,1019,165,567,Oklahoma,2,4,8,80
2016,1018,164,570,North Carolina,1,2,8,88
2016,1017,163,568,Notre Dame,6,8,8,74
2016,1016,162,542,Virginia,1,8,8,62
2016,1015,161,555,Syracuse,10,4,8,68
2016,1014,68,543,Villanova,2,1,4,95
2016,1013,67,567,Oklahoma,2,4,4,51
2016,1012,66,570,North Carolina,1,2,4,83
2016,1011,65,555,Syracuse,10,4,4,66
2016,1010,18,543,Villanova,2,1,2,77
2016,1009,17,570,North Carolina,1,2,2,74
2015,1008,1504,510,Kentucky,1,4,64,79
2015,1007,1503,516,Hampton,16,64,64,56
2015,1006,1502,526,Cincinnati,8,32,64,66
2015,1005,1501,489,Purdue,9,64,64,65
2015,1004,1500,473,West Virginia,5,16,64,68
2015,1003,1499,529,Buffalo,12,64,64,62
2015,1002,1498,505,Maryland,4,32,64,65
2015,1001,1497,477,Valparaiso,13,64,64,62
2015,1000,1496,528,Butler,6,32,64,56
2015,999,1495,483,Texas,11,64,64,48
2015,998,1494,495,Notre Dame,3,8,64,69
2015,997,1493,497,Northeastern,14,64,64,65
2015,996,1492,472,Wichita St.,7,16,64,81
2015,995,1491,514,Indiana,10,64,64,76
2015,994,1490,511,Kansas,2,32,64,75
2015,993,1489,502,New Mexico St.,15,64,64,56
2015,992,1488,471,Wisconsin,1,2,64,86
2015,991,1487,525,Coastal Carolina,16,64,64,72
2015,990,1486,491,Oregon,8,32,64,79
2015,989,1485,492,Oklahoma St.,9,64,64,73
2015,988,1484,533,Arkansas,5,32,64,56
2015,987,1483,470,Wofford,12,64,64,53
2015,986,1482,501,North Carolina,4,16,64,67
2015,985,1481,515,Harvard,13,64,64,65
2015,984,1480,468,Xavier,6,16,64,76
2015,983,1479,503,Mississippi,11,64,64,57
2015,982,1478,532,Baylor,3,64,64,56
2015,981,1477,518,Georgia St.,14,32,64,57
2015,980,1476,476,VCU,7,64,64,72
2015,979,1475,494,Ohio St.,10,32,64,75
2015,978,1474,534,Arizona,2,8,64,93
2015,977,1473,482,Texas Southern,15,64,64,72
2015,976,1472,475,Villanova,1,32,64,93
2015,975,1471,509,Lafayette,16,64,64,52
2015,974,1470,500,North Carolina St.,8,16,64,66
2015,973,1469,507,LSU,9,64,64,65
2015,972,1468,496,Northern Iowa,5,32,64,71
2015,971,1467,469,Wyoming,12,64,64,54
2015,970,1466,508,Louisville,4,8,64,57
2015,969,1465,480,UC Irvine,13,64,64,55
2015,968,1464,490,Providence,6,64,64,53
2015,967,1463,523,Dayton,11,32,64,66
2015,966,1462,493,Oklahoma,3,16,64,69
2015,965,1461,535,Albany,14,64,64,60
2015,964,1460,504,Michigan St.,7,4,64,70
2015,963,1459,519,Georgia,10,64,64,63
2015,962,1458,474,Virginia,2,32,64,79
2015,961,1457,531,Belmont,15,64,64,67
2015,960,1456,522,Duke,1,1,64,85
2015,959,1455,488,Robert Morris,16,64,64,56
2015,958,1454,487,San Diego St.,8,32,64,76
2015,957,1453,485,St. John's,9,64,64,64
2015,956,1452,478,Utah,5,16,64,57
2015,955,1451,484,Stephen F. Austin,12,64,64,50
2015,954,1450,520,Georgetown,4,32,64,84
2015,953,1449,521,Eastern Washington,13,64,64,74
2015,952,1448,486,SMU,6,64,64,59
2015,951,1447,479,UCLA,11,16,64,60
2015,950,1446,512,Iowa St.,3,64,64,59
2015,949,1445,481,UAB,14,32,64,60
2015,948,1444,513,Iowa,7,32,64,83
2015,947,1443,524,Davidson,10,64,64,52
2015,946,1442,517,Gonzaga,2,8,64,86
2015,945,1441,499,North Dakota St.,15,64,64,76
2015,944,736,510,Kentucky,1,4,32,64
2015,943,735,526,Cincinnati,8,32,32,51
2015,942,734,473,West Virginia,5,16,32,69
2015,941,733,505,Maryland,4,32,32,59
2015,940,732,528,Butler,6,32,32,64
2015,939,731,495,Notre Dame,3,8,32,67
2015,938,730,472,Wichita St.,7,16,32,78
2015,937,729,511,Kansas,2,32,32,65
2015,936,728,471,Wisconsin,1,2,32,72
2015,935,727,491,Oregon,8,32,32,65
2015,934,726,533,Arkansas,5,32,32,78
2015,933,725,501,North Carolina,4,16,32,87
2015,932,724,468,Xavier,6,16,32,75
2015,931,723,518,Georgia St.,14,32,32,67
2015,930,722,494,Ohio St.,10,32,32,58
2015,929,721,534,Arizona,2,8,32,73
2015,928,720,475,Villanova,1,32,32,68
2015,927,719,500,North Carolina St.,8,16,32,71
2015,926,718,496,Northern Iowa,5,32,32,53
2015,925,717,508,Louisville,4,8,32,66
2015,924,716,523,Dayton,11,32,32,66
2015,923,715,493,Oklahoma,3,16,32,72
2015,922,714,504,Michigan St.,7,4,32,60
2015,921,713,474,Virginia,2,32,32,54
2015,920,712,522,Duke,1,1,32,68
2015,919,711,487,San Diego St.,8,32,32,49
2015,918,710,478,Utah,5,16,32,75
2015,917,709,520,Georgetown,4,32,32,64
2015,916,708,479,UCLA,11,16,32,92
2015,915,707,481,UAB,14,32,32,75
2015,914,706,513,Iowa,7,32,32,68
2015,913,705,517,Gonzaga,2,8,32,87
2015,912,352,510,Kentucky,1,4,16,78
2015,911,351,473,West Virginia,5,16,16,39
2015,910,350,495,Notre Dame,3,8,16,81
2015,909,349,472,Wichita St.,7,16,16,70
2015,908,348,471,Wisconsin,1,2,16,79
2015,907,347,501,North Carolina,4,16,16,72
2015,906,346,468,Xavier,6,16,16,60
2015,905,345,534,Arizona,2,8,16,68
2015,904,344,500,North Carolina St.,8,16,16,65
2015,903,343,508,Louisville,4,8,16,75
2015,902,342,493,Oklahoma,3,16,16,58
2015,901,341,504,Michigan St.,7,4,16,62
2015,900,340,522,Duke,1,1,16,63
2015,899,339,478,Utah,5,16,16,57
2015,898,338,479,UCLA,11,16,16,62
2015,897,337,517,Gonzaga,2,8,16,74
2015,896,160,510,Kentucky,1,4,8,68
2015,895,159,495,Notre Dame,3,8,8,66
2015,894,158,471,Wisconsin,1,2,8,85
2015,893,157,534,Arizona,2,8,8,78
2015,892,156,508,Louisville,4,8,8,70
2015,891,155,504,Michigan St.,7,4,8,76
2015,890,154,522,Duke,1,1,8,66
2015,889,153,517,Gonzaga,2,8,8,52
2015,888,64,510,Kentucky,1,4,4,64
2015,887,63,471,Wisconsin,1,2,4,71
2015,886,62,504,Michigan St.,7,4,4,61
2015,885,61,522,Duke,1,1,4,81
2015,884,16,471,Wisconsin,1,2,2,63
2015,883,15,522,Duke,1,1,2,68
2014,882,1440,451,Florida,1,4,64,67
2014,881,1439,467,Albany,16,64,64,55
2014,880,1438,458,Colorado,8,64,64,48
2014,879,1437,421,Pittsburgh,9,32,64,77
2014,878,1436,408,VCU,5,64,64,75
2014,877,1435,415,Stephen F. Austin,12,32,64,77
